"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","22","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"broken","Sat May 21 19:56:19 PYT 2022","Sat May 21 19:56:19 PYT 2022","9","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the","Given The client is in the",""
"broken","Thu May 19 14:55:14 PYT 2022","Thu May 19 14:55:14 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","When he client search for 'pilas'","When he client search for 'pilas'",""
"broken","Wed May 25 20:59:17 PYT 2022","Wed May 25 20:59:32 PYT 2022","15911","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","Given The client is in the https://www.ebay.com","Given The client is in the https://www.ebay.com",""
"skipped","Sat May 21 16:55:16 PYT 2022","Sat May 21 16:55:16 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"skipped","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"skipped","Wed May 25 14:19:00 PYT 2022","Wed May 25 14:19:00 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","When The client search for the pilas","When The client search for the pilas",""
"passed","Fri May 20 13:49:20 PYT 2022","Fri May 20 13:49:20 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","",""
"passed","Wed May 25 21:34:10 PYT 2022","Wed May 25 21:34:10 PYT 2022","5","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","Then The client count the results","Then The client count the results",""
"passed","Mon May 23 13:51:53 PYT 2022","Mon May 23 13:51:53 PYT 2022","1","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","When The client search for the pilas","When The client search for the pilas",""
"passed","Mon May 23 13:51:53 PYT 2022","Mon May 23 13:51:53 PYT 2022","1","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","",""
"passed","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"skipped","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"passed","Fri May 20 13:49:20 PYT 2022","Fri May 20 13:49:20 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","When The client search for the 'pilas'","When The client search for the 'pilas'",""
"skipped","Wed May 25 14:19:00 PYT 2022","Wed May 25 14:19:00 PYT 2022","1","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Then The client count the results","Then The client count the results",""
"passed","Fri May 20 13:49:20 PYT 2022","Fri May 20 13:49:20 PYT 2022","1","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Then The client count the results","Then The client count the results",""
"skipped","Wed May 25 20:59:32 PYT 2022","Wed May 25 20:59:32 PYT 2022","0","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","When The client search for the pilas","When The client search for the pilas",""
"skipped","Sat May 21 16:55:17 PYT 2022","Sat May 21 16:55:17 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"broken","Wed May 25 11:24:39 PYT 2022","Wed May 25 11:24:47 PYT 2022","8270","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the https://www.ebay.com/","Given The client is in the https://www.ebay.com/",""
"passed","Wed May 25 20:59:32 PYT 2022","Wed May 25 20:59:32 PYT 2022","0","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","","",""
"skipped","Sat May 21 16:55:16 PYT 2022","Sat May 21 16:55:16 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"broken","Mon May 23 06:22:43 PYT 2022","Mon May 23 06:22:46 PYT 2022","3648","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the https://www.eBay.com","Given The client is in the https://www.eBay.com",""
"passed","Mon May 23 13:51:53 PYT 2022","Mon May 23 13:51:53 PYT 2022","1","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Then The client count the results","Then The client count the results",""
"passed","Wed May 25 14:19:00 PYT 2022","Wed May 25 14:19:00 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","",""
"skipped","Wed May 25 20:59:32 PYT 2022","Wed May 25 20:59:32 PYT 2022","1","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","Then The client count the results","Then The client count the results",""
"passed","Wed May 25 21:34:02 PYT 2022","Wed May 25 21:34:10 PYT 2022","7459","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","When The client search for the pilas","When The client search for the pilas",""
"broken","Sat May 21 16:55:16 PYT 2022","Sat May 21 16:55:17 PYT 2022","311","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Fri May 20 13:49:20 PYT 2022","Fri May 20 13:49:20 PYT 2022","3","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the www.ebay.com","Given The client is in the www.ebay.com",""
"skipped","Sun May 22 14:20:55 PYT 2022","Sun May 22 14:20:55 PYT 2022","0","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","When The client search for the 'pilas'","When The client search for the 'pilas'",""
"broken","Thu May 19 14:30:28 PYT 2022","Thu May 19 14:30:28 PYT 2022","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the ebay page","Given I am on the ebay page",""
"skipped","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"passed","Wed May 25 21:33:50 PYT 2022","Wed May 25 21:34:02 PYT 2022","12099","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","Given The client is in the https://www.ebay.com","Given The client is in the https://www.ebay.com",""
"broken","Sun May 22 02:00:15 PYT 2022","Sun May 22 02:00:18 PYT 2022","2795","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the www.ebay.com","Given The client is in the www.ebay.com",""
"passed","Mon May 23 13:51:39 PYT 2022","Mon May 23 13:51:53 PYT 2022","13812","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the eBay","Given The client is in the eBay",""
"passed","Wed May 25 21:34:10 PYT 2022","Wed May 25 21:34:10 PYT 2022","1","","The client search in the view page: The client search by ""pilas"" in ebay page","","The client search in the view page: The client search by ""pilas"" in ebay page","","",""
"broken","Tue May 24 06:42:35 PYT 2022","Tue May 24 06:42:39 PYT 2022","4281","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the eBay","Given The client is in the eBay",""
"skipped","Sat May 21 16:55:17 PYT 2022","Sat May 21 16:55:17 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"broken","Wed May 25 14:18:45 PYT 2022","Wed May 25 14:19:00 PYT 2022","15056","","The client search in the ebay page: The client search by ""pilas"" in ebay page","","The client search in the ebay page: The client search by ""pilas"" in ebay page","Given The client is in the https://www.ebay.com","Given The client is in the https://www.ebay.com",""
"passed","Sat May 21 16:55:17 PYT 2022","Sat May 21 16:55:17 PYT 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"skipped","Fri May 20 11:15:43 PYT 2022","Fri May 20 11:15:43 PYT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
